text,intent
Is app ka customer support kaise contact kar sakte hain?,Customer Support
Is product ka return policy kya hai?,Customer Support
Is product ke saath return policy kya hai?,Customer Support
Mera order kab tak deliver hoga?,Customer Support
"Mere account se kuch payment deduct ho gaya hai, refund kaise milega?",Customer Support
Mere order ka status kya hai?,Customer Support
Mere product ka warranty period kya hai?,Customer Support
"Mere product mein kuch defect hai, exchange kaise hoga?",Customer Support
Mujhe apna account delete karna hai.,Customer Support
Mujhe apna account mein kya hoga?,Customer Support
Mujhe apna account password reset karna hai.,Customer Support
Mujhe apna order track karna hai.,Customer Support
Mujhe apna password change karna hai.,Customer Support
Mujhe apna product return karna hai.,Customer Support
Mujhe apne account ka activity log access karna hai.,Customer Support
Mujhe apne account ka billing address change karna hai.,Customer Support
Mujhe apne account ka data export karna hai.,Customer Support
Mujhe apne account ka email address update karna hai.,Customer Support
Mujhe apne account ka email ID change karna hai.,Customer Support
Mujhe apne account ka login issue ho raha hai.,Customer Support
Mujhe apne account ka login issue resolve karna hai.,Customer Support
Mujhe apne account ka login password change karna hai.,Customer Support
Mujhe apne account ka password change karana hai.,Customer Support
Mujhe apne account ka password recover karna hai.,Customer Support
Mujhe apne account ka security audit karana hai.,Customer Support
Mujhe apne account ka security check karna hai.,Customer Support
Mujhe apne account ka subscription cancel confirmation chahiye.,Customer Support
Mujhe apne account ka subscription cancel karna hai.,Customer Support
Mujhe apne account ka subscription cancellation confirmation chahiye.,Customer Support
Mujhe apne account ka subscription downgrade karna hai.,Customer Support
Mujhe apne account ka subscription plan cancel karna hai.,Customer Support
Mujhe apne account ka subscription plan upgrade karna hai.,Customer Support
Mujhe apne account ka subscription renew karna hai.,Customer Support
Mujhe apne account ka subscription renew karna hai.,Customer Support
Mujhe apne account ka subscription renewal confirmation chahiye.,Customer Support
Mujhe apne account ka subscription renewal date update karna hai.,Customer Support
Mujhe apne account ka subscription renewal karwana hai.,Customer Support
Mujhe apne account ka two-factor authentication enable karna hai.,Customer Support
Mujhe apne account ka verification process complete karna hai.,Customer Support
Mujhe apne account ke activity log access karna hai.,Customer Support
Mujhe apne account ke login credentials update karane hain.,Customer Support
Mujhe apne account ke notification preferences set karwane hain.,Customer Support
Mujhe apne account ke notifications settings change karwane hain.,Customer Support
Mujhe apne account ke payment history access karna hai.,Customer Support
Mujhe apne account ke privacy settings change karne hain.,Customer Support
Mujhe apne account ke privacy settings update karwane hain.,Customer Support
